FOLIO,P1_1,P1_2_1,P1_2_2,P1_3,P1_4_1,P1_4_2,P1_4_3,P1_4_4,P1_4_5,P1_4_6,P4_1_1,P4_1_2,P4_1_3,ENT,FACTOR
395,3,2,1,2,,,,,,,,,,2,687
396,2,1,1,2,,,,,,,,,,3,253
397,4,2,2,2,,,,,,,,,,22,418
398,5,3,2,1,2,1,1,2,1,1,1,1,1,12,733
399,4,2,2,1,2,1,1,2,1,1,2,1,3,22,676
400,3,2,1,2,,,,,,,,,,23,641
401,4,1,3,2,,,,,,,,,,27,276
402,3,1,2,1,1,1,2,2,1,2,3,1,4,32,569
403,1,0,1,2,,,,,,,,,,3,433
404,4,2,2,1,2,1,1,1,1,1,2,2,1,25,1265
405,3,1,2,1,2,2,1,2,1,1,1,2,2,29,330
406,2,1,1,1,2,1,1,2,1,1,1,1,2,17,1196
407,12,4,8,2,,,,,,,,,,20,23
408,1,1,0,2,,,,,,,,,,6,462
409,5,2,3,1,2,2,1,2,1,2,2,2,2,24,3169
410,4,1,3,2,,,,,,,,,,6,111
411,4,1,3,1,2,1,1,2,1,1,1,1,1,14,4874
412,6,2,4,1,1,2,2,2,1,1,2,1,1,3,106
413,3,1,2,1,2,2,2,2,1,2,1,1,1,18,481
414,5,3,2,1,2,1,1,2,1,1,1,1,1,4,192
415,6,2,4,1,2,1,2,2,1,1,2,1,3,32,313
416,7,6,1,1,2,2,2,2,1,2,1,2,1,23,398
417,4,1,3,1,2,1,1,2,1,1,3,3,2,8,888
418,2,1,1,2,,,,,,,,,,15,4670
419,4,1,3,1,1,1,1,1,1,1,1,1,2,2,1562
420,3,1,2,1,2,1,1,2,1,1,1,1,2,8,1365
421,2,1,1,2,,,,,,,,,,10,610
422,3,2,1,1,2,1,1,2,1,1,1,1,1,8,1449
423,4,0,4,2,,,,,,,,,,7,497
424,1,1,0,2,,,,,,,,,,17,1386
425,4,2,2,2,,,,,,,,,,7,545
426,4,2,2,1,2,2,1,2,1,2,1,2,1,27,720
427,3,1,2,1,2,1,1,1,1,1,1,1,3,3,275
428,4,2,2,1,1,1,1,1,1,1,1,1,1,24,1877
429,5,3,2,1,2,1,1,1,1,1,1,1,1,20,1746
430,3,1,2,2,,,,,,,,,,30,1583
431,3,2,1,2,,,,,,,,,,24,538
432,5,2,3,1,1,1,1,1,1,1,1,1,1,24,835
433,5,3,2,1,2,2,1,1,1,1,1,1,1,9,2432
434,5,3,2,1,1,1,1,2,1,1,2,2,2,18,163
435,3,2,1,2,,,,,,,,,,12,488
436,4,3,1,1,2,1,1,1,1,1,1,2,3,6,312
437,4,3,1,1,2,1,1,2,1,1,1,1,1,16,928
438,1,1,0,1,2,1,1,2,1,1,3,1,1,27,1383
439,1,0,1,2,,,,,,,,,,10,1284
440,1,0,1,2,,,,,,,,,,20,1766
441,5,1,4,1,2,2,2,2,1,2,2,2,3,8,973
442,4,2,2,1,2,2,1,1,1,1,1,1,2,30,4371
443,1,1,0,1,2,1,1,2,1,1,1,2,3,4,1009
444,2,0,2,2,,,,,,,,,,13,1011
445,2,1,1,1,2,1,2,2,1,1,1,1,3,6,421
446,5,1,4,1,2,1,1,2,1,1,1,1,2,18,289
447,4,3,1,1,2,2,1,2,1,2,3,3,2,9,8481
448,4,3,1,1,2,2,2,2,1,2,1,1,1,29,202
449,2,0,2,1,2,2,1,2,1,2,1,2,2,18,485
450,4,1,3,1,2,1,1,1,1,1,1,2,1,16,1046
451,6,3,3,2,,,,,,,,,,20,125
452,4,2,2,1,2,1,1,2,1,1,1,1,1,27,450
453,1,1,0,2,,,,,,,,,,4,638
454,3,1,2,1,2,1,1,2,1,1,2,2,2,16,1224
455,5,2,3,1,2,1,1,2,1,1,3,2,1,5,1833
456,6,3,3,1,2,2,1,1,1,1,1,1,1,27,249
457,3,2,1,2,,,,,,,,,,10,386
458,3,1,2,2,,,,,,,,,,4,183
459,3,2,1,1,2,1,1,2,1,1,1,1,2,9,3659
460,5,2,3,1,1,1,1,1,1,1,1,1,1,30,5661
461,4,2,2,1,1,1,1,1,2,1,1,1,3,32,527
462,4,3,1,1,2,1,1,2,1,1,2,1,1,6,205
463,5,3,2,1,2,1,1,2,1,1,2,1,2,20,1688
